City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lebu,-37.6167,-73.65,47.62,85,58,4.61,CL,2022-09-13 02:48:21
1,Tazovskiy,67.4667,78.7,35.96,98,100,5.97,RU,2022-09-13 02:48:22
2,Albany,42.6001,-73.9662,69.67,93,100,1.63,US,2022-09-13 02:44:07
3,Athabasca,54.7169,-113.2854,54.01,37,50,7.76,CA,2022-09-13 02:45:26
4,Hobart,-42.8794,147.3294,52.27,57,40,8.05,AU,2022-09-13 02:48:22
5,Atherton,53.5237,-2.4935,52.21,96,37,3.27,GB,2022-09-13 02:48:23
6,Coahuayana,18.7333,-103.6833,76.42,96,100,2.17,MX,2022-09-13 02:48:23
7,Khatanga,71.9667,102.5,36.84,87,100,9.13,RU,2022-09-13 02:48:23
8,Laguna,38.421,-121.4238,85.98,39,0,11.5,US,2022-09-13 02:48:24
9,Panjab,34.388,67.0233,55.67,46,0,1.57,AF,2022-09-13 02:48:24
10,Punta Arenas,-53.15,-70.9167,39.31,81,0,6.91,CL,2022-09-13 02:48:25
11,Gornyy,55.1153,83.9059,44.33,57,16,6.91,RU,2022-09-13 02:48:25
12,Pevek,69.7008,170.3133,35.65,87,100,3.78,RU,2022-09-13 02:48:25
13,Qaanaaq,77.484,-69.3632,36.0,92,99,3.0,GL,2022-09-13 02:48:26
14,Okha,53.5739,142.9478,47.32,77,100,12.84,RU,2022-09-13 02:48:26
15,Oranjemund,-28.55,16.4333,54.18,62,0,10.92,NA,2022-09-13 02:48:26
16,Kahului,20.8947,-156.47,87.82,65,40,25.32,US,2022-09-13 02:44:29
17,Busselton,-33.65,115.3333,56.68,78,100,23.04,AU,2022-09-13 02:48:27
18,Bluff,-46.6,168.3333,45.81,85,97,27.58,NZ,2022-09-13 02:48:27
19,Ambunti,-4.2365,142.8448,90.64,49,92,4.34,PG,2022-09-13 02:48:27
20,East London,-33.0153,27.9116,56.05,66,0,10.04,ZA,2022-09-13 02:48:28
21,Port Keats,-14.25,129.55,85.24,61,61,10.71,AU,2022-09-13 02:48:28
22,Ushuaia,-54.8,-68.3,38.86,65,20,5.75,AR,2022-09-13 02:48:28
23,Bethel,41.3712,-73.414,71.91,87,100,2.73,US,2022-09-13 02:46:13
24,Avarua,-21.2078,-159.775,77.05,73,40,10.36,CK,2022-09-13 02:48:29
25,Rikitea,-23.1203,-134.9692,73.2,69,64,3.24,PF,2022-09-13 02:48:29
26,Vestmannaeyjar,63.4427,-20.2734,51.03,77,100,15.17,IS,2022-09-13 02:48:30
27,Port Elizabeth,-33.918,25.5701,51.31,83,0,6.91,ZA,2022-09-13 02:48:30
28,Killybegs,54.6333,-8.45,56.8,76,91,9.48,IE,2022-09-13 02:48:30
29,Thompson,55.7435,-97.8558,44.76,70,20,5.75,CA,2022-09-13 02:48:31
30,Souillac,-20.5167,57.5167,64.78,88,20,4.61,MU,2022-09-13 02:48:31
31,Rio Brilhante,-21.8019,-54.5464,71.62,72,36,8.25,BR,2022-09-13 02:45:46
32,Kapaa,22.0752,-159.319,84.18,68,0,11.5,US,2022-09-13 02:48:32
33,Hermanus,-34.4187,19.2345,47.8,79,35,8.95,ZA,2022-09-13 02:48:32
34,Vaini,-21.2,-175.2,82.56,74,40,8.05,TO,2022-09-13 02:48:32
35,Port Blair,11.6667,92.75,84.24,79,40,5.75,IN,2022-09-13 02:48:33
36,Hami,42.8,93.45,73.87,28,100,8.12,CN,2022-09-13 02:48:33
37,Barrow,71.2906,-156.7887,35.62,93,100,20.71,US,2022-09-13 02:48:33
38,Kilindoni,-7.9139,39.6668,74.73,78,27,12.03,TZ,2022-09-13 02:48:34
39,Hun,29.1268,15.9477,77.83,49,0,1.88,LY,2022-09-13 02:48:34
40,Broome,42.2506,-75.833,68.63,87,75,5.75,US,2022-09-13 02:48:34
41,Sao Filipe,14.8961,-24.4956,78.76,82,74,11.68,CV,2022-09-13 02:48:35
42,Orlik,52.5178,99.825,48.87,47,95,7.0,RU,2022-09-13 02:48:35
43,Toora-Khem,52.4675,96.11,50.61,69,26,0.92,RU,2022-09-13 02:48:35
44,Yellowknife,62.456,-114.3525,46.92,81,20,9.22,CA,2022-09-13 02:48:36
45,Plettenberg Bay,-34.0527,23.3716,51.6,72,1,7.16,ZA,2022-09-13 02:48:36
46,Kabompo,-13.5927,24.2008,59.14,27,47,5.26,ZM,2022-09-13 02:49:37
47,Caravelas,-17.7125,-39.2481,69.01,83,0,5.06,BR,2022-09-13 02:49:37
48,Haines Junction,60.7522,-137.5108,55.35,50,76,8.05,CA,2022-09-13 02:49:37
49,Champerico,14.3,-91.9167,79.68,82,100,3.65,GT,2022-09-13 02:49:38
50,Haysville,37.5645,-97.3523,75.52,48,0,6.91,US,2022-09-13 02:49:38
51,Taganak,6.0833,118.3,87.94,78,10,3.15,PH,2022-09-13 02:49:38
